path,word,token,phrase,upload_date
content/asl_app_data/dictionary/SG ASL Close Friend 2025-2-4.mkv,close friend,CLOSE FRIEND,Close Friend,2025-02-04
content/asl_app_data/dictionary/SG ASL Close Feeling 2025-2-4 CC.mp4,close feeling,CLOSE FEELING,Close Feeling,2025-02-04
content/asl_app_data/dictionary/SG ASL Close Door 2025-2-4 CC.mp4,close door,CLOSE DOOR,Close Door,2025-02-04
content/asl_app_data/dictionary/SG ASL Close Business 2025-2-3 CC.mp4,close business,CLOSE BUSINESS,Close Business,2025-02-03
content/asl_app_data/dictionary/SG ASL Close Door Alt 2025-2-3 CC.mp4,close door alt,CLOSE DOOR ALT,Close Door Alt,2025-02-03
content/asl_app_data/dictionary/SG ASL Close Book 2025-2-2.mkv,close book,CLOSE BOOK,Close Book,2025-02-02
content/asl_app_data/dictionary/SG ASL Close Almost 2025-2-2 CC.mp4,close almost,CLOSE ALMOST,Close Almost,2025-02-02
content/asl_app_data/dictionary/SG ASL Child 2025-1-9.mkv,child,CHILD,Child,2025-01-09
content/asl_app_data/dictionary/SG ASL Child Alt 2025-1-7 GIF.gif,child alt,CHILD ALT,Child Alt,2025-01-07
content/asl_app_data/dictionary/SG ASL New Year Resolution 2025-1-1.mkv,new year resolution,NEW YEAR RESOLUTION,New Year Resolution,2025-01-01
content/asl_app_data/dictionary/SG ASL New Year 2025-1-1 CC.mp4,new year,NEW YEAR,New Year,2025-01-01
content/asl_app_data/dictionary/SG ASL New Year Day 2024-12-31 GIF.gif,new year day,NEW YEAR DAY,New Year Day,2024-12-31
content/asl_app_data/dictionary/SG ASL Change No Change 2024-12-15 CC.mp4,change no change,CHANGE NO CHANGE,Change No Change,2024-12-15
content/asl_app_data/dictionary/SG ASL Change Money 2024-12-15 CC.mp4,change money,CHANGE MONEY,Change Money,2024-12-15
content/asl_app_data/dictionary/SG ASL Change Coin Alt 2024-12-15.mkv,change coin alt,CHANGE COIN ALT,Change Coin Alt,2024-12-15
content/asl_app_data/dictionary/SG ASL Change Bad Alt 2024-12-14 CC.mp4,change bad alt,CHANGE BAD ALT,Change Bad Alt,2024-12-14
content/asl_app_data/dictionary/SG ASL Change Adapt 2024-12-14 GIF.gif,change adapt,CHANGE ADAPT,Change Adapt,2024-12-14
content/asl_app_data/dictionary/SG ASL Change Adapt Variant 2024-12-12 CC.mp4,change adapt variant,CHANGE ADAPT VARIANT,Change Adapt Variant,2024-12-12
content/asl_app_data/dictionary/SG ASL Calm 2024-11-7 CC.mp4,calm,CALM,Calm,2024-11-07
content/asl_app_data/dictionary/SG ASL Car Wash 2024-10-16.mkv,car wash,CAR WASH,Car Wash,2024-10-16
content/asl_app_data/dictionary/SG ASL Car Racing 2024-10-15 GIF.gif,car racing,CAR RACING,Car Racing,2024-10-15
content/asl_app_data/dictionary/SG ASL Car Insurance 2024-10-14 GIF.gif,car insurance,CAR INSURANCE,Car Insurance,2024-10-14
content/asl_app_data/dictionary/SG ASL Take 2 2024-10-14 GIF.gif,take 2,TAKE 2,Take 2,2024-10-14
content/asl_app_data/dictionary/SG ASL Take 2024-10-13.mkv,take,TAKE,Take,2024-10-13
content/asl_app_data/dictionary/SG ASL Please 2024-10-13 CC.mp4,please,PLEASE,Please,2024-10-13
content/asl_app_data/dictionary/SG ASL Any (Alt) 2024-10-12.mkv,any (alt),ANY (ALT),Any (Alt),2024-10-12
content/asl_app_data/dictionary/SG ASL Car Accident 2024-10-11.mkv,car accident,CAR ACCIDENT,Car Accident,2024-10-11
content/asl_app_data/dictionary/SG ASL Can Container 2024-9-26.mkv,can container,CAN CONTAINER,Can Container,2024-09-26
content/asl_app_data/dictionary/SG ASL Can Container Big 2024-9-18 GIF.gif,can container big,CAN CONTAINER BIG,Can Container Big,2024-09-18
content/asl_app_data/dictionary/SG ASL But 2024-9-5 CC.mp4,but,BUT,But,2024-09-05
content/asl_app_data/dictionary/SG ASL Buy 2 2024-9-5 CC.mp4,buy 2,BUY 2,Buy 2,2024-09-05
content/asl_app_data/dictionary/SG ASL Busy 2024-9-3 GIF.gif,busy,BUSY,Busy,2024-09-03
content/asl_app_data/dictionary/SG ASL Brother 2024-8-5 CC.mp4,brother,BROTHER,Brother,2024-08-05
content/asl_app_data/dictionary/SG ASL Brother in Law 3 2024-8-4.mkv,brother in law 3,BROTHER IN LAW 3,Brother in Law 3,2024-08-04
content/asl_app_data/dictionary/SG ASL Brother Catholic 2 2024-8-4 CC.mp4,brother catholic 2,BROTHER CATHOLIC 2,Brother Catholic 2,2024-08-04
content/asl_app_data/dictionary/SG ASL Bring to Me 2024-7-28.mkv,bring to me,BRING TO ME,Bring to Me,2024-07-28
