path,word,token,phrase,upload_date
content/asl_app_data/dictionary/SG ASL Assimilate (Alt) 1 2023-9-21.mkv,,ASSIMILATE (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Approaching Me 2023-8-2 CC.mp4,,APPROACHING ME,,
content/asl_app_data/dictionary/SG ASL Approaching Me 2023-8-2.mkv,,APPROACHING ME,,
content/asl_app_data/dictionary/SG ASL Astute 2 2023-10-2 CC.mp4,,ASTUTE 2,,
content/asl_app_data/dictionary/SG ASL Astute 2 2023-10-2.mkv,,ASTUTE 2,,
content/asl_app_data/dictionary/SG ASL Ash Wednesday 2 2023-8-29.mkv,,ASH WEDNESDAY 2,,
content/asl_app_data/dictionary/SG ASL Ash Wednesday 2 2023-8-29 CC.mp4,,ASH WEDNESDAY 2,,
content/asl_app_data/dictionary/SG ASL Attention Seeking 2 2023-10-18 GIF.gif,,ATTENTION SEEKING 2,,
content/asl_app_data/dictionary/SG ASL Attention Seeking 2 2023-10-18 CC.mp4,,ATTENTION SEEKING 2,,
content/asl_app_data/dictionary/SG ASL Attention Seeking 2 2023-10-18.mkv,,ATTENTION SEEKING 2,,
content/asl_app_data/dictionary/SG ASL Android Alt 1 2023-6-29.mkv,,ANDROID ALT 1,,
content/asl_app_data/dictionary/SG ASL Android Alt 1 2023-6-29 CC.gif,,ANDROID ALT 1,,
content/asl_app_data/dictionary/SG ASL Associate 1 2023-9-27.mkv,,ASSOCIATE 1,,
content/asl_app_data/dictionary/SG ASL Associate 1 2023-9-27 CC.mp4,,ASSOCIATE 1,,
content/asl_app_data/dictionary/SG ASL Austrian 1 2023-11-8.mkv,,AUSTRIAN 1,,
content/asl_app_data/dictionary/SG ASL Austrian 1 2023-11-8 CC.mp4,,AUSTRIAN 1,,
content/asl_app_data/dictionary/SG ASL Arranged Marriage 2023-8-17 CC.mp4,,ARRANGED MARRIAGE,,
content/asl_app_data/dictionary/SG ASL Arranged Marriage 2023-8-17.mkv,,ARRANGED MARRIAGE,,
content/asl_app_data/dictionary/SG ASL Astray 2 2023-10-1 CC.mp4,,ASTRAY 2,,
content/asl_app_data/dictionary/SG ASL Astray 2 2023-10-1.mkv,,ASTRAY 2,,
content/asl_app_data/dictionary/SG ASL Announce (Alt) 2023-7-5 CC.mp4,,ANNOUNCE (ALT),,
content/asl_app_data/dictionary/SG ASL Announce (Alt) 2023-7-5.mkv,,ANNOUNCE (ALT),,
content/asl_app_data/dictionary/SG ASL Asthma 1 2023-9-30 CC.mp4,,ASTHMA 1,,
content/asl_app_data/dictionary/SG ASL Asthma 1 2023-9-30.mkv,,ASTHMA 1,,
content/asl_app_data/dictionary/SG ASL Asking Price 2 2023-9-4 CC.mp4,,ASKING PRICE 2,,
content/asl_app_data/dictionary/SG ASL Asking Price 2 2023-9-4.mkv,,ASKING PRICE 2,,
content/asl_app_data/dictionary/SG ASL Apparently 1 2023-7-25.mkv,,APPARENTLY 1,,
content/asl_app_data/dictionary/SG ASL Apparently 1 2023-7-25 CC.mp4,,APPARENTLY 1,,
content/asl_app_data/dictionary/SG ASL Authorize 3 2023-11-11 CC.mp4,,AUTHORIZE 3,,
content/asl_app_data/dictionary/SG ASL Authorize 3 2023-11-11.mkv,,AUTHORIZE 3,,
content/asl_app_data/dictionary/SG ASL Authorize 3 2023-11-11 GIF.gif,,AUTHORIZE 3,,
content/asl_app_data/dictionary/SG ASL Antonym 1 2023-7-15.mkv,,ANTONYM 1,,
content/asl_app_data/dictionary/SG ASL Antonym 1 2023-7-15 CC.mp4,,ANTONYM 1,,
content/asl_app_data/dictionary/SG ASL Architecture (Alt) 2023-8-9.mkv,,ARCHITECTURE (ALT),,
content/asl_app_data/dictionary/SG ASL Architecture (Alt) 2023-8-9 CC.mp4,,ARCHITECTURE (ALT),,
content/asl_app_data/dictionary/SG ASL Apathy (Alt) 2023-7-20.mkv,,APATHY (ALT),,
content/asl_app_data/dictionary/SG ASL Apathy (Alt) 2023-7-20 CC.mp4,,APATHY (ALT),,
content/asl_app_data/dictionary/SG ASL Astonish 2 2023-10-1.mkv,,ASTONISH 2,,
content/asl_app_data/dictionary/SG ASL Astonish 2 2023-10-1 CC.mp4,,ASTONISH 2,,
content/asl_app_data/dictionary/SG ASL Ant 1 2023-7-6.mkv,,ANT 1,,
content/asl_app_data/dictionary/SG ASL Ant 1 2023-7-6 CC.mp4,,ANT 1,,
content/asl_app_data/dictionary/SG ASL Another Alt 1 2023-7-6.mkv,,ANOTHER ALT 1,,
content/asl_app_data/dictionary/SG ASL Another Alt 1 2023-7-6 CC.mp4,,ANOTHER ALT 1,,
content/asl_app_data/dictionary/SG ASL Anger (Alt) 2023-7-1 CC.gif,,ANGER (ALT),,
content/asl_app_data/dictionary/SG ASL Anger (Alt) 2023-7-1.mkv,,ANGER (ALT),,
content/asl_app_data/dictionary/SG ASL Angle (90) 1 2023-7-1.mkv,,ANGLE (90) 1,,
content/asl_app_data/dictionary/SG ASL Angle (90) 1 2023-7-1 CC.gif,,ANGLE (90) 1,,
content/asl_app_data/dictionary/SG ASL Anthropology 1 2023-7-8 CC.mp4,,ANTHROPOLOGY 1,,
content/asl_app_data/dictionary/SG ASL Anthropology 1 2023-7-8.mkv,,ANTHROPOLOGY 1,,
content/asl_app_data/dictionary/SG ASL App 1 2023-7-23.mkv,,APP 1,,
content/asl_app_data/dictionary/SG ASL App 1 2023-7-23 CC.mp4,,APP 1,,
content/asl_app_data/dictionary/SG ASL Antiscocial (Alt) 1 2023-7-11.mkv,,ANTISCOCIAL (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Antiscocial (Alt) 1 2023-7-11 CC.mp4,,ANTISCOCIAL (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Attend (Alt) 2023-10-17 CC.mp4,,ATTEND (ALT),,
content/asl_app_data/dictionary/SG ASL Attend (Alt) 2023-10-17.mkv,,ATTEND (ALT),,
content/asl_app_data/dictionary/SG ASL Attend (Alt) 2023-10-17 GIF.gif,,ATTEND (ALT),,
content/asl_app_data/dictionary/SG ASL Attractive (Alt) 1 2023-10-23 GIF.gif,,ATTRACTIVE (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Attractive (Alt) 1 2023-10-23 CC.mp4,,ATTRACTIVE (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Attractive (Alt) 1 2023-10-23.mkv,,ATTRACTIVE (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Audience 1 2023-10-25.mkv,,AUDIENCE 1,,
content/asl_app_data/dictionary/SG ASL Audience 1 2023-10-25 GIF.gif,,AUDIENCE 1,,
content/asl_app_data/dictionary/SG ASL Audience 1 2023-10-25 CC.mp4,,AUDIENCE 1,,
content/asl_app_data/dictionary/SG ASL Apex 1 2023-7-22.mkv,,APEX 1,,
content/asl_app_data/dictionary/SG ASL Apex 1 2023-7-22 CC.mp4,,APEX 1,,
content/asl_app_data/dictionary/SG ASL Asleep 1 2023-9-7 CC.mp4,,ASLEEP 1,,
content/asl_app_data/dictionary/SG ASL Asleep 1 2023-9-7.mkv,,ASLEEP 1,,
content/asl_app_data/dictionary/SG ASL As 1 2023-8-26 CC.mp4,,AS 1,,
content/asl_app_data/dictionary/SG ASL As 1 2023-8-26.mkv,,AS 1,,
content/asl_app_data/dictionary/SG ASL Apply (Pertains to) 2023-7-28.mkv,,APPLY (PERTAINS TO),,
content/asl_app_data/dictionary/SG ASL Apply (Pertains to) 2023-7-28 CC.mp4,,APPLY (PERTAINS TO),,
content/asl_app_data/dictionary/SG ASL Annual 1 2023-7-5.mkv,,ANNUAL 1,,
content/asl_app_data/dictionary/SG ASL Annual 1 2023-7-5 CC.mp4,,ANNUAL 1,,
content/asl_app_data/dictionary/SG ASL Archepeligo 1 2023-8-7 CC.mp4,,ARCHEPELIGO 1,,
content/asl_app_data/dictionary/SG ASL Archepeligo 1 2023-8-7.mkv,,ARCHEPELIGO 1,,
content/asl_app_data/dictionary/SG ASL Asset 1 2023-9-16.mkv,,ASSET 1,,
content/asl_app_data/dictionary/SG ASL Asset 1 2023-9-16 CC.mp4,,ASSET 1,,
content/asl_app_data/dictionary/SG ASL Animation 1 2023-7-2.mkv,,ANIMATION 1,,
content/asl_app_data/dictionary/SG ASL Animation 1 2023-7-2 CC.gif,,ANIMATION 1,,
content/asl_app_data/dictionary/SG ASL Anniversary (Alt) 2023-7-4.mkv,,ANNIVERSARY (ALT),,
content/asl_app_data/dictionary/SG ASL Anniversary (Alt) 2023-7-4 CC.gif,,ANNIVERSARY (ALT),,
content/asl_app_data/dictionary/SG ASL Ardent (Alt) 2023-8-10 CC.mp4,,ARDENT (ALT),,
content/asl_app_data/dictionary/SG ASL Ardent (Alt) 2023-8-10.mkv,,ARDENT (ALT),,
content/asl_app_data/dictionary/SG ASL Association 1 2023-9-28.mkv,,ASSOCIATION 1,,
content/asl_app_data/dictionary/SG ASL Association 1 2023-9-28 CC.mp4,,ASSOCIATION 1,,
content/asl_app_data/dictionary/SG ASL Attack (Variant) 2023-10-15.mkv,,ATTACK (VARIANT),,
content/asl_app_data/dictionary/SG ASL Attack (Variant) 2023-10-15 GIF.gif,,ATTACK (VARIANT),,
content/asl_app_data/dictionary/SG ASL Attack (Variant) 2023-10-15 CC.mp4,,ATTACK (VARIANT),,
content/asl_app_data/dictionary/SG ASL Artifact 1 2023-8-24 CC.mp4,,ARTIFACT 1,,
content/asl_app_data/dictionary/SG ASL Artifact 1 2023-8-24.mkv,,ARTIFACT 1,,
content/asl_app_data/dictionary/SG ASL Around 1 2023-8-15 CC.mp4,,AROUND 1,,
content/asl_app_data/dictionary/SG ASL Around 1 2023-8-15.mkv,,AROUND 1,,
content/asl_app_data/dictionary/SG ASL Authority Variant 2023-11-10.mkv,,AUTHORITY VARIANT,,
content/asl_app_data/dictionary/SG ASL Authority Variant 2023-11-10 CC.mp4,,AUTHORITY VARIANT,,
content/asl_app_data/dictionary/SG ASL Arc 1 2023-8-6 CC.mp4,,ARC 1,,
content/asl_app_data/dictionary/SG ASL Arc 1 2023-8-6.mkv,,ARC 1,,
content/asl_app_data/dictionary/SG ASL At Risk 2023-10-8 CC.mp4,,AT RISK,,
content/asl_app_data/dictionary/SG ASL At Risk 2023-10-8.mkv,,AT RISK,,
content/asl_app_data/dictionary/SG ASL Annex Alt 1 2023-7-3.mkv,,ANNEX ALT 1,,
content/asl_app_data/dictionary/SG ASL Annex Alt 1 2023-7-3 CC.gif,,ANNEX ALT 1,,
content/asl_app_data/dictionary/SG ASL Anesthesia Alt 1 2023-6-29.mkv,,ANESTHESIA ALT 1,,
content/asl_app_data/dictionary/SG ASL Anesthesia Alt 1 2023-6-29 CC.gif,,ANESTHESIA ALT 1,,
content/asl_app_data/dictionary/SG ASL Astonish (Alt) 2 2023-10-1 CC.mp4,,ASTONISH (ALT) 2,,
content/asl_app_data/dictionary/SG ASL Astonish (Alt) 2 2023-10-1.mkv,,ASTONISH (ALT) 2,,
content/asl_app_data/dictionary/SG ASL Attack 1 2023-10-15 CC.mp4,,ATTACK 1,,
content/asl_app_data/dictionary/SG ASL Attack 1 2023-10-15.mkv,,ATTACK 1,,
content/asl_app_data/dictionary/SG ASL Attack 1 2023-10-15 GIF.gif,,ATTACK 1,,
content/asl_app_data/dictionary/SG ASL Associate (Link) 2023-9-26 CC.mp4,,ASSOCIATE (LINK),,
content/asl_app_data/dictionary/SG ASL Associate (Link) 2023-9-26.mkv,,ASSOCIATE (LINK),,
content/asl_app_data/dictionary/SG ASL Asia (Archiac) 1 2023-8-30.mkv,,ASIA (ARCHIAC) 1,,
content/asl_app_data/dictionary/SG ASL Asia (Archiac) 1 2023-8-30 CC.mp4,,ASIA (ARCHIAC) 1,,
content/asl_app_data/dictionary/SG ASL As Well 1 2023-8-27.mkv,,AS WELL 1,,
content/asl_app_data/dictionary/SG ASL As Well 1 2023-8-27 CC.mp4,,AS WELL 1,,
content/asl_app_data/dictionary/SG ASL Anybody (Alt) 1 2023-7-16.mkv,,ANYBODY (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Anybody (Alt) 1 2023-7-16 CC.mp4,,ANYBODY (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Archery (Alt) 2023-8-8.mkv,,ARCHERY (ALT),,
content/asl_app_data/dictionary/SG ASL Archery (Alt) 2023-8-8 CC.mp4,,ARCHERY (ALT),,
content/asl_app_data/dictionary/SG ASL Aquarium (Alt) 2023-8-4.mkv,,AQUARIUM (ALT),,
content/asl_app_data/dictionary/SG ASL Aquarium (Alt) 2023-8-4 CC.mp4,,AQUARIUM (ALT),,
content/asl_app_data/dictionary/SG ASL Autism (Alt) 2 2023-11-11 GIF.gif,,AUTISM (ALT) 2,,
content/asl_app_data/dictionary/SG ASL Autism (Alt) 2 2023-11-11 CC.mp4,,AUTISM (ALT) 2,,
content/asl_app_data/dictionary/SG ASL Autism (Alt) 2 2023-11-11.mkv,,AUTISM (ALT) 2,,
content/asl_app_data/dictionary/SG ASL Apron 1 2023-8-4 CC.mp4,,APRON 1,,
content/asl_app_data/dictionary/SG ASL Apron 1 2023-8-4.mkv,,APRON 1,,
content/asl_app_data/dictionary/SG ASL Attack (Alt) 2023-10-15 GIF.gif,,ATTACK (ALT),,
content/asl_app_data/dictionary/SG ASL Attack (Alt) 2023-10-15 CC.mp4,,ATTACK (ALT),,
content/asl_app_data/dictionary/SG ASL Attack (Alt) 2023-10-15.mkv,,ATTACK (ALT),,
content/asl_app_data/dictionary/SG ASL Architect (Alt) 2023-8-8.mkv,,ARCHITECT (ALT),,
content/asl_app_data/dictionary/SG ASL Architect (Alt) 2023-8-8 CC.mp4,,ARCHITECT (ALT),,
content/asl_app_data/dictionary/SG ASL Australia (Old) 2 2023-11-6 GIF.gif,,AUSTRALIA (OLD) 2,,
content/asl_app_data/dictionary/SG ASL Australia (Old) 2 2023-11-6.mkv,,AUSTRALIA (OLD) 2,,
content/asl_app_data/dictionary/SG ASL Australia (Old) 2 2023-11-6 CC.mp4,,AUSTRALIA (OLD) 2,,
content/asl_app_data/dictionary/SG ASL Approval (Alt) 1 2023-8-3 CC.mp4,,APPROVAL (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Approval (Alt) 1 2023-8-3.mkv,,APPROVAL (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Arrogant 1 2023-8-19 CC.mp4,,ARROGANT 1,,
content/asl_app_data/dictionary/SG ASL Arrogant 1 2023-8-19.mkv,,ARROGANT 1,,
content/asl_app_data/dictionary/SG ASL Article 1 2023-8-23.mkv,,ARTICLE 1,,
content/asl_app_data/dictionary/SG ASL Article 1 2023-8-23 CC.mp4,,ARTICLE 1,,
content/asl_app_data/dictionary/SG ASL Appointment 1 2023-7-29 CC.mp4,,APPOINTMENT 1,,
content/asl_app_data/dictionary/SG ASL Appointment 1 2023-7-29.mkv,,APPOINTMENT 1,,
content/asl_app_data/dictionary/SG ASL Assist (Alt) 2023-9-23.mkv,,ASSIST (ALT),,
content/asl_app_data/dictionary/SG ASL Assist (Alt) 2023-9-23 CC.mp4,,ASSIST (ALT),,
content/asl_app_data/dictionary/SG ASL Associate Degree 1 2023-9-28.mkv,,ASSOCIATE DEGREE 1,,
content/asl_app_data/dictionary/SG ASL Associate Degree 1 2023-9-28 CC.mp4,,ASSOCIATE DEGREE 1,,
content/asl_app_data/dictionary/SG ASL Attempt 2 2023-10-16.mkv,,ATTEMPT 2,,
content/asl_app_data/dictionary/SG ASL Attempt 2 2023-10-16 GIF.gif,,ATTEMPT 2,,
content/asl_app_data/dictionary/SG ASL Attempt 2 2023-10-16 CC.mp4,,ATTEMPT 2,,
content/asl_app_data/dictionary/SG ASL Askew 1 2023-9-4.mkv,,ASKEW 1,,
content/asl_app_data/dictionary/SG ASL Askew 1 2023-9-4 CC.mp4,,ASKEW 1,,
content/asl_app_data/dictionary/SG ASL Aside 1 2023-8-31 CC.mp4,,ASIDE 1,,
content/asl_app_data/dictionary/SG ASL Aside 1 2023-8-31.mkv,,ASIDE 1,,
content/asl_app_data/dictionary/SG ASL Alert (Person) 1 2023-5-17.mkv,,ALERT (PERSON) 1,,
content/asl_app_data/dictionary/SG ASL Alert (Person) 1 2023-5-17 CC.gif,,ALERT (PERSON) 1,,
content/asl_app_data/dictionary/SG ASL Alcoholic 2 2023-5-16 CC.gif,,ALCOHOLIC 2,,
content/asl_app_data/dictionary/SG ASL Alcoholic 2 2023-5-16.mkv,,ALCOHOLIC 2,,
content/asl_app_data/dictionary/SG ASL Alert (Multiple people) 1 2023-5-17 CC.gif,,ALERT (MULTIPLE PEOPLE) 1,,
content/asl_app_data/dictionary/SG ASL Alert (Multiple people) 1 2023-5-17.mkv,,ALERT (MULTIPLE PEOPLE) 1,,
content/asl_app_data/dictionary/SG ASL Automatic (Alt) Short 2023-11-13 CC.mp4,,AUTOMATIC (ALT) SHORT,,
content/asl_app_data/dictionary/SG ASL Automatic (Alt) Short 2023-11-13.mkv,,AUTOMATIC (ALT) SHORT,,
content/asl_app_data/dictionary/SG ASL Automatic (Alt) Short 2023-11-13 GIF.gif,,AUTOMATIC (ALT) SHORT,,
content/asl_app_data/dictionary/SG ASL Asia (Alt) 1 2023-8-30 CC.mp4,,ASIA (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Asia (Alt) 1 2023-8-30.mkv,,ASIA (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Attach 1 2023-10-15 CC.mp4,,ATTACH 1,,
content/asl_app_data/dictionary/SG ASL Attach 1 2023-10-15.mkv,,ATTACH 1,,
content/asl_app_data/dictionary/SG ASL Apparent (Alt) 1 2023-7-24.mkv,,APPARENT (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Apparent (Alt) 1 2023-7-24 CC.mp4,,APPARENT (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Ass (Butt) 1 2023-9-10 CC.mp4,,ASS (BUTT) 1,,
content/asl_app_data/dictionary/SG ASL Ass (Butt) 1 2023-9-10.mkv,,ASS (BUTT) 1,,
content/asl_app_data/dictionary/SG ASL Antler 1 2023-7-14.mkv,,ANTLER 1,,
content/asl_app_data/dictionary/SG ASL Antler 1 2023-7-14 CC.mp4,,ANTLER 1,,
content/asl_app_data/dictionary/SG ASL Applaud 1 2023-7-26.mkv,,APPLAUD 1,,
content/asl_app_data/dictionary/SG ASL Applaud 1 2023-7-26 CC.mp4,,APPLAUD 1,,
content/asl_app_data/dictionary/SG ASL Asylum Variant 2 2023-10-5 CC.mp4,,ASYLUM VARIANT 2,,
content/asl_app_data/dictionary/SG ASL Asylum Variant 2 2023-10-5.mkv,,ASYLUM VARIANT 2,,
content/asl_app_data/dictionary/SG ASL Assemble (Alt) Variant 1 2023-9-12 CC.mp4,,ASSEMBLE (ALT) VARIANT 1,,
content/asl_app_data/dictionary/SG ASL Assemble (Alt) Variant 1 2023-9-12.mkv,,ASSEMBLE (ALT) VARIANT 1,,
content/asl_app_data/dictionary/SG ASL Arctic 1 2023-8-10 CC.mp4,,ARCTIC 1,,
content/asl_app_data/dictionary/SG ASL Arctic 1 2023-8-10.mkv,,ARCTIC 1,,
content/asl_app_data/dictionary/SG ASL Approximate Alt 2023-8-4 CC.mp4,,APPROXIMATE ALT,,
content/asl_app_data/dictionary/SG ASL Approximate Alt 2023-8-4.mkv,,APPROXIMATE ALT,,
content/asl_app_data/dictionary/SG ASL At Last 2 2023-10-6 CC.mp4,,AT LAST 2,,
content/asl_app_data/dictionary/SG ASL At Last 2 2023-10-6.mkv,,AT LAST 2,,
content/asl_app_data/dictionary/SG ASL Assassin (Alt) 1 2023-9-10.mkv,,ASSASSIN (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Assassin (Alt) 1 2023-9-10 CC.mp4,,ASSASSIN (ALT) 1,,
content/asl_app_data/dictionary/SG ASL Awry (Variant) 1 2023-11-19 CC.mp4,,AWRY (VARIANT) 1,,
content/asl_app_data/dictionary/SG ASL Awry (Variant) 1 2023-11-19.mkv,,AWRY (VARIANT) 1,,
content/asl_app_data/dictionary/SG ASL Awry (Variant) 1 2023-11-19 GIF.gif,,AWRY (VARIANT) 1,,
content/asl_app_data/dictionary/SG ASL Alaska Alt 3 2023-5-15.mkv,,ALASKA ALT 3,,
content/asl_app_data/dictionary/SG ASL Alaska Alt 3 2023-5-15 CC.gif,,ALASKA ALT 3,,
content/asl_app_data/dictionary/SG ASL Artificial Variant 1 2023-8-25 CC.mp4,,ARTIFICIAL VARIANT 1,,
content/asl_app_data/dictionary/SG ASL Artificial Variant 1 2023-8-25.mkv,,ARTIFICIAL VARIANT 1,,
content/asl_app_data/dictionary/SG ASL Cigarette Butt 2 2025-1-22.mkv,,CIGARETTE BUTT 2,,
content/asl_app_data/dictionary/SG ASL Cigarette Butt 2 2025-1-22 GIF.gif,,CIGARETTE BUTT 2,,
content/asl_app_data/dictionary/SG ASL Cigarette Butt 2 2025-1-22 CC.mp4,,CIGARETTE BUTT 2,,
content/asl_app_data/dictionary/SG ASL Castle Alt 2024-11-18 CC.mp4,,CASTLE ALT,,
content/asl_app_data/dictionary/SG ASL Castle Alt 2024-11-18.mkv,,CASTLE ALT,,
content/asl_app_data/dictionary/SG ASL Castle Alt 2024-11-18 GIF.gif,,CASTLE ALT,,
content/asl_app_data/dictionary/SG ASL Common Alt 2025-3-30 CC.mp4,,COMMON ALT,,
content/asl_app_data/dictionary/SG ASL Common Alt 2025-3-30 GIF.gif,,COMMON ALT,,
content/asl_app_data/dictionary/SG ASL Common Alt 2025-3-30.mkv,,COMMON ALT,,
content/asl_app_data/dictionary/SG ASL Concussion Ext 2025-4-30.mkv,,CONCUSSION EXT,,
content/asl_app_data/dictionary/SG ASL Concussion Ext 2025-4-30 CC.mp4,,CONCUSSION EXT,,
content/asl_app_data/dictionary/SG ASL Concussion Ext 2025-4-30 GIF.gif,,CONCUSSION EXT,,
content/asl_app_data/dictionary/SG ASL California Alt 2024-10-29 CC.mp4,,CALIFORNIA ALT,,
content/asl_app_data/dictionary/SG ASL California Alt 2024-10-29.mkv,,CALIFORNIA ALT,,
content/asl_app_data/dictionary/SG ASL California Alt 2024-10-29 GIF.gif,,CALIFORNIA ALT,,
content/asl_app_data/dictionary/SG ASL Chug Engine 2025-1-21 CC.mp4,,CHUG ENGINE,,
content/asl_app_data/dictionary/SG ASL Chug Engine 2025-1-21 GIF.gif,,CHUG ENGINE,,
content/asl_app_data/dictionary/SG ASL Chug Engine 2025-1-21.mkv,,CHUG ENGINE,,
content/asl_app_data/dictionary/SG ASL Confine Alt 2025-5-16 CC.mp4,,CONFINE ALT,,
content/asl_app_data/dictionary/SG ASL Confine Alt 2025-5-16 GIF.gif,,CONFINE ALT,,
content/asl_app_data/dictionary/SG ASL Confine Alt 2025-5-16.mkv,,CONFINE ALT,,
content/asl_app_data/dictionary/SG ASL Computer File 2025-4-24 GIF.gif,,COMPUTER FILE,,
content/asl_app_data/dictionary/SG ASL Computer File 2025-4-24 CC.mp4,,COMPUTER FILE,,
content/asl_app_data/dictionary/SG ASL Computer File 2025-4-24.mkv,,COMPUTER FILE,,
content/asl_app_data/dictionary/SG ASL Cleaner Alt 2025-2-26.mkv,,CLEANER ALT,,
content/asl_app_data/dictionary/SG ASL Cleaner Alt 2025-2-26 CC.mp4,,CLEANER ALT,,
content/asl_app_data/dictionary/SG ASL Cleaner Alt 2025-2-26 GIF.gif,,CLEANER ALT,,
content/asl_app_data/dictionary/SG ASL Church Alt 2025-1-22 CC.mp4,,CHURCH ALT,,
content/asl_app_data/dictionary/SG ASL Church Alt 2025-1-22.mkv,,CHURCH ALT,,
content/asl_app_data/dictionary/SG ASL Church Alt 2025-1-22 GIF.gif,,CHURCH ALT,,
content/asl_app_data/dictionary/SG ASL Chat Alt 2024-12-23 CC.mp4,,CHAT ALT,,
content/asl_app_data/dictionary/SG ASL Chat Alt 2024-12-23 GIF.gif,,CHAT ALT,,
content/asl_app_data/dictionary/SG ASL Chat Alt 2024-12-23.mkv,,CHAT ALT,,
content/asl_app_data/dictionary/SG ASL CD alt 2024-11-20 GIF.gif,,CD ALT,,
content/asl_app_data/dictionary/SG ASL CD alt 2024-11-20 CC.mp4,,CD ALT,,
content/asl_app_data/dictionary/SG ASL CD alt 2024-11-20.mkv,,CD ALT,,
content/asl_app_data/dictionary/SG ASL Cement 2 2024-11-27 CC.mp4,,CEMENT 2,,
content/asl_app_data/dictionary/SG ASL Cement 2 2024-11-27 GIF.gif,,CEMENT 2,,
content/asl_app_data/dictionary/SG ASL Cement 2 2024-11-27.mkv,,CEMENT 2,,
content/asl_app_data/dictionary/SG ASL Closet Ext 2025-2-8 GIF.gif,,CLOSET EXT,,
content/asl_app_data/dictionary/SG ASL Closet Ext 2025-2-8.mkv,,CLOSET EXT,,
content/asl_app_data/dictionary/SG ASL Closet Ext 2025-2-8 CC.mp4,,CLOSET EXT,,
content/asl_app_data/dictionary/SG ASL Clueless Alt 2025-2-11 CC.mp4,,CLUELESS ALT,,
content/asl_app_data/dictionary/SG ASL Clueless Alt 2025-2-11.mkv,,CLUELESS ALT,,
content/asl_app_data/dictionary/SG ASL Clueless Alt 2025-2-11 GIF.gif,,CLUELESS ALT,,
content/asl_app_data/dictionary/SG ASL Condemn Sentence 2025-5-1.mkv,,CONDEMN SENTENCE,,
content/asl_app_data/dictionary/SG ASL Condemn Sentence 2025-5-1 GIF.gif,,CONDEMN SENTENCE,,
content/asl_app_data/dictionary/SG ASL Condemn Sentence 2025-5-1 CC.mp4,,CONDEMN SENTENCE,,
content/asl_app_data/dictionary/SG ASL Conceive Immaculate 2025-4-26.mkv,,CONCEIVE IMMACULATE,,
content/asl_app_data/dictionary/SG ASL Conceive Immaculate 2025-4-26 CC.mp4,,CONCEIVE IMMACULATE,,
content/asl_app_data/dictionary/SG ASL Conceive Immaculate 2025-4-26 GIF.gif,,CONCEIVE IMMACULATE,,
content/asl_app_data/dictionary/SG ASL Collide Car 2025-3-11.mkv,,COLLIDE CAR,,
content/asl_app_data/dictionary/SG ASL Collide Car 2025-3-11 GIF.gif,,COLLIDE CAR,,
content/asl_app_data/dictionary/SG ASL Collide Car 2025-3-11 CC.mp4,,COLLIDE CAR,,
content/asl_app_data/dictionary/SG ASL Command Order 2025-3-27 GIF.gif,,COMMAND ORDER,,
content/asl_app_data/dictionary/SG ASL Command Order 2025-3-27.mkv,,COMMAND ORDER,,
content/asl_app_data/dictionary/SG ASL Command Order 2025-3-27 CC.mp4,,COMMAND ORDER,,
content/asl_app_data/dictionary/SG ASL Clever Alt 2 Handed 2025-1-28 GIF.gif,,CLEVER ALT 2 HANDED,,
content/asl_app_data/dictionary/SG ASL Clever Alt 2 Handed 2025-1-28.mkv,,CLEVER ALT 2 HANDED,,
content/asl_app_data/dictionary/SG ASL Clever Alt 2 Handed 2025-1-28 CC.mp4,,CLEVER ALT 2 HANDED,,
content/asl_app_data/dictionary/SG ASL Cementary Alt Ext 2024-11-27 CC.mp4,,CEMENTARY ALT EXT,,
content/asl_app_data/dictionary/SG ASL Cementary Alt Ext 2024-11-27.mkv,,CEMENTARY ALT EXT,,
content/asl_app_data/dictionary/SG ASL Cementary Alt Ext 2024-11-27 GIF.gif,,CEMENTARY ALT EXT,,
content/asl_app_data/dictionary/SG ASL Chill Alt Ext 2025-1-9 CC.mp4,,CHILL ALT EXT,,
content/asl_app_data/dictionary/SG ASL Chill Alt Ext 2025-1-9.mkv,,CHILL ALT EXT,,
content/asl_app_data/dictionary/SG ASL Chill Alt Ext 2025-1-9 GIF.gif,,CHILL ALT EXT,,
content/asl_app_data/dictionary/SG ASL Collaborate Alt 2025-3-10 CC.mp4,,COLLABORATE ALT,,
content/asl_app_data/dictionary/SG ASL Collaborate Alt 2025-3-10.mkv,,COLLABORATE ALT,,
